[DEBUG] 2017-04-30 18:26:09.334 [main] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@503d687a
[DEBUG] 2017-04-30 18:26:09.335 [main] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@503d687a
[DEBUG] 2017-04-30 18:26:09.335 [main] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@770d3326
[DEBUG] 2017-04-30 18:26:09.336 [main] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@140c9f39
[DEBUG] 2017-04-30 18:26:09.336 [main] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@140c9f39
[DEBUG] 2017-04-30 18:26:09.337 [main] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@3246fb96
[DEBUG] 2017-04-30 18:26:09.337 [main] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@3246fb96
[DEBUG] 2017-04-30 18:26:09.338 [main] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@49dc7102
[DEBUG] 2017-04-30 18:26:09.338 [main] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@49dc7102
[DEBUG] 2017-04-30 18:26:09.339 [main] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@34f7cfd9
[DEBUG] 2017-04-30 18:26:09.339 [main] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@34f7cfd9
[DEBUG] 2017-04-30 18:26:09.341 [main] BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@2cd2a21f
[DEBUG] 2017-04-30 18:26:09.341 [main] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@2cd2a21f
[DEBUG] 2017-04-30 18:26:09.341 [main] BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@e7edb54
[DEBUG] 2017-04-30 18:26:09.342 [main] BasicTypeRegistry - Adding type registration binary -> org.hibernate.type.BinaryType@c333c60
[DEBUG] 2017-04-30 18:26:09.343 [main] BasicTypeRegistry - Adding type registration byte[] -> org.hibernate.type.BinaryType@c333c60
[DEBUG] 2017-04-30 18:26:09.343 [main] BasicTypeRegistry - Adding type registration [B -> org.hibernate.type.BinaryType@c333c60
[DEBUG] 2017-04-30 18:26:09.344 [main] BasicTypeRegistry - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@5fd4f8f5
[DEBUG] 2017-04-30 18:26:09.344 [main] BasicTypeRegistry - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@5fd4f8f5
[DEBUG] 2017-04-30 18:26:09.344 [main] BasicTypeRegistry - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@5fd4f8f5
[DEBUG] 2017-04-30 18:26:09.345 [main] BasicTypeRegistry - Adding type registration row_version -> org.hibernate.type.RowVersionType@2f8dad04
[DEBUG] 2017-04-30 18:26:09.345 [main] BasicTypeRegistry - Adding type registration image -> org.hibernate.type.ImageType@44821a96
[DEBUG] 2017-04-30 18:26:09.346 [main] BasicTypeRegistry - Adding type registration characters -> org.hibernate.type.CharArrayType@41fecb8b
[DEBUG] 2017-04-30 18:26:09.346 [main] BasicTypeRegistry - Adding type registration char[] -> org.hibernate.type.CharArrayType@41fecb8b
[DEBUG] 2017-04-30 18:26:09.347 [main] BasicTypeRegistry - Adding type registration [C -> org.hibernate.type.CharArrayType@41fecb8b
[DEBUG] 2017-04-30 18:26:09.347 [main] BasicTypeRegistry - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@cad498c
[DEBUG] 2017-04-30 18:26:09.347 [main] BasicTypeRegistry - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@cad498c
[DEBUG] 2017-04-30 18:26:09.348 [main] BasicTypeRegistry - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@cad498c
[DEBUG] 2017-04-30 18:26:09.348 [main] BasicTypeRegistry - Adding type registration text -> org.hibernate.type.TextType@5ace1ed4
[DEBUG] 2017-04-30 18:26:09.349 [main] BasicTypeRegistry - Adding type registration ntext -> org.hibernate.type.NTextType@693fe6c9
[DEBUG] 2017-04-30 18:26:09.352 [main] BasicTypeRegistry - Adding type registration blob -> org.hibernate.type.BlobType@932bc4a
[DEBUG] 2017-04-30 18:26:09.352 [main] BasicTypeRegistry - Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@932bc4a
[DEBUG] 2017-04-30 18:26:09.352 [main] BasicTypeRegistry - Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@29d89d5d
[DEBUG] 2017-04-30 18:26:09.356 [main] BasicTypeRegistry - Adding type registration clob -> org.hibernate.type.ClobType@14555e0a
[DEBUG] 2017-04-30 18:26:09.356 [main] BasicTypeRegistry - Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@14555e0a
[DEBUG] 2017-04-30 18:26:09.358 [main] BasicTypeRegistry - Adding type registration nclob -> org.hibernate.type.NClobType@6d4e5011
[DEBUG] 2017-04-30 18:26:09.359 [main] BasicTypeRegistry - Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@6d4e5011
[DEBUG] 2017-04-30 18:26:09.359 [main] BasicTypeRegistry - Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@78123e82
[DEBUG] 2017-04-30 18:26:09.359 [main] BasicTypeRegistry - Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@662b4c69
[DEBUG] 2017-04-30 18:26:09.360 [main] BasicTypeRegistry - Adding type registration serializable -> org.hibernate.type.SerializableType@5fbdfdcf
[DEBUG] 2017-04-30 18:26:09.370 [main] BasicTypeRegistry - Adding type registration object -> org.hibernate.type.ObjectType@3232a28a
[DEBUG] 2017-04-30 18:26:09.370 [main] BasicTypeRegistry - Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@3232a28a
[DEBUG] 2017-04-30 18:26:09.371 [main] BasicTypeRegistry - Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@28f2a10f
[DEBUG] 2017-04-30 18:26:09.371 [main] BasicTypeRegistry - Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@f736069
[DEBUG] 2017-04-30 18:26:09.371 [main] BasicTypeRegistry - Adding type registration imm_timestamp -> org.hibernate.type.AdaptedImmutableType@6da21078
[DEBUG] 2017-04-30 18:26:09.371 [main] BasicTypeRegistry - Adding type registration imm_dbtimestamp -> org.hibernate.type.AdaptedImmutableType@7fee8714
[DEBUG] 2017-04-30 18:26:09.371 [main] BasicTypeRegistry - Adding type registration imm_calendar -> org.hibernate.type.AdaptedImmutableType@4229bb3f
[DEBUG] 2017-04-30 18:26:09.371 [main] BasicTypeRegistry - Adding type registration imm_calendar_date -> org.hibernate.type.AdaptedImmutableType@56cdfb3b
[DEBUG] 2017-04-30 18:26:09.371 [main] BasicTypeRegistry - Adding type registration imm_binary -> org.hibernate.type.AdaptedImmutableType@2b91004a
